avgDegree,stdDev,minDegree,maxDegree,paths,components,smallest comp,biggest comp,EBS EBD rs,EBS EBD p-value,EBS EBD jcc,EBD ER rs,EBD ER p-value,EBD ER jcc,EBS ER rs,EBS ER p-value,EBS ER jcc
0.002,2.034,1.4052914288502667,0,9,943350,152,1,810,0.9879493462965382,0,0.8181818181818182,-0.7265350867243836,1.3522296750647634e-167,0,-0.7446349246142172,2.117587750977712e-180,0
0.002,2.014,1.4261150023753275,0,8,912240,158,1,803,0.9887753690765388,0,0.6666666666666666,-0.7801892047485839,5.5866375927434276e-207,0,-0.8005797454986514,9.459550998643995e-226,0
0.002,2.006,1.44705355809659,0,9,923386,162,1,799,0.9867456166852892,0,0.8181818181818182,-0.7763473379155181,7.27453410944894e-203,0,-0.7964072465811064,7.334502848962262e-221,0
0.002,1.946,1.4018145383751703,0,7,848190,173,1,776,0.9866582148357631,0,0.6363636363636364,-0.7824787802437068,5.544163915661903e-202,0,-0.8055666000146054,6.1093358011529355e-223,0
0.002,1.926,1.3923088737776528,0,8,868214,185,1,776,0.9865719094572011,0,0.5,-0.7607173700465645,1.411267541207988e-182,0,-0.778924858499838,5.89975851121792e-197,0
0.002,2.126,1.4799067538193007,0,11,1021714,143,1,831,0.9889596157021374,0,0.6666666666666666,-0.7986214046196336,3.2434577676803164e-236,0,-0.8220096094427264,1.0749964887024271e-261,0
0.002,2.164,1.463934424760896,0,8,1013304,135,1,829,0.9907774011398734,0,0.6666666666666666,-0.7688810254321208,5.339161255446852e-212,0,-0.7836829401156027,1.4167319713770863e-225,0
0.002,1.9,1.3899640283115193,0,7,789176,190,1,754,0.9891391602472203,0,0.8,-0.7490635412416761,1.0510386739305772e-171,0,-0.7660499735845263,3.737733127651638e-184,0
0.002,2.036,1.4278319228816785,0,8,883550,161,1,777,0.9884623288661127,0,0.8181818181818182,-0.7510371454563338,2.253160279402954e-185,0,-0.7730860042991307,4.386751447556046e-203,0
0.002,1.956,1.3711542582802192,0,8,908256,164,1,801,0.9879162554711761,0,0.8,-0.7620841848253231,1.9070591908767296e-186,0,-0.7870758500110939,5.374699032237136e-207,0
0.01,9.962,3.100412230655794,1,22,3954472,1,1000,1000,0.9204673364647372,0,0.42028985507246375,-0.6674379057107456,0,0.010309278350515464,-0.8398053603607247,0,0.010309278350515464
0.01,9.896,2.967016009393947,2,19,3944774,1,1000,1000,0.9158557126840144,0,0.38028169014084506,-0.6415392973905187,0,0.053763440860215055,-0.8228235062549308,0,0.031578947368421054
0.01,10.018,3.2183343518037537,1,21,4028592,1,1000,1000,0.9132519666209101,0,0.3698630136986301,-0.6116258274468127,0,0.0989010989010989,-0.8078051912788531,0,0.030927835051546393
0.01,10.126,3.1893767416221004,2,21,4036300,1,1000,1000,0.9150688778879643,0,0.4492753623188406,-0.6381384589025787,0,0.1111111111111111,-0.824644764970472,0,0.030927835051546393
0.01,9.878,3.0966297809069814,2,21,3947436,1,1000,1000,0.9046447626052121,0,0.38028169014084506,-0.5937145229493357,0,0.08888888888888889,-0.7985861050923749,0,0.010309278350515464
0.01,10.118,3.2121762093633617,1,24,4067748,1,1000,1000,0.9154842298306343,0,0.5384615384615384,-0.6351436261895871,0,0.06382978723404255,-0.8167681787507474,0,0.030927835051546393
0.01,9.924,3.137231900896072,2,20,3968440,1,1000,1000,0.9245464508094142,0,0.42028985507246375,-0.6670812276115277,0,0.08888888888888889,-0.8358632520085931,0,0.031578947368421054
0.01,10.2,3.215276037916499,1,22,4090086,1,1000,1000,0.9139839729027075,0,0.5,-0.629278794530926,0,0.0851063829787234,-0.812877284936819,0,0.009900990099009901
0.01,9.968,3.0362766672357187,2,23,3977050,1,1000,1000,0.9148190553308935,0,0.48484848484848486,-0.648561868007824,0,0.031578947368421054,-0.8297132411419187,0,0.020833333333333332
0.01,9.928,3.193558516764644,1,21,3988386,1,1000,1000,0.9206099092440589,0,0.4411764705882353,-0.6438038513024162,0,0.11363636363636363,-0.8186943814621084,0,0.031578947368421054
0.02,20.02,4.501732999634696,7,37,5646004,1,1000,1000,0.7815341295698065,0,0.20481927710843373,-0.5256151831268627,0,0.03626943005181347,-0.8755666587364115,0,0
0.02,19.994,4.375153025895214,9,35,5625528,1,1000,1000,0.7902051889502878,0,0.17159763313609466,-0.5278452372264104,0,0.01020408163265306,-0.8694230386894704,0,0
0.02,20.01,4.529006513574473,7,35,5649632,1,1000,1000,0.7615620933936262,0,0.21951219512195122,-0.4794662103938774,0,0.0582010582010582,-0.8612070370310115,0,0.015228426395939087
0.02,20.232,4.353409698156145,8,34,5724430,1,1000,1000,0.7552320068838069,0,0.1744186046511628,-0.49301657102664276,0,0.041237113402061855,-0.8788540947557991,0,0.004975124378109453
0.02,20.214,4.491125026093124,7,37,5751890,1,1000,1000,0.751592693875723,0,0.15428571428571428,-0.46533471386293335,0,0.06878306878306878,-0.8604731981296342,0,0.004975124378109453
